base,model name,"Total 
Params (B)","Active
Params (B)","n-grams
Params (B)","model 
size (GB)","Weights
Quantization","KV cache
quantization",engine,"Nb
GPU",License,Model ref,Score /100,Duration,Requests,req/pts,in Mtok,out Mtok,"total
TG/s ","parallel
tasks","TG/s per
task","total
cost $","gen tok
/req"
Gemma-4-26B-A4B-it,Gemma-4-26B-A4B-it,26,4,0,52,BF16,BF16,vLLM,2,Apache 2.0,ST-gemma-4-26B-A4B-it_48GB_vLLM_2GPU_48,57,02:20:04,6258,110,195,"2,20",262,5,52,"0,33",352
Gemma-4-26B-A4B-it,Gemma-4-26B-A4B-it,26,4,0,52,BF16,FP8,vLLM,1,Apache 2.0,ST-gemma-4-26B-A4B-it_48GB_vLLM_1GPU_96 no mtp,56,04:24:25,6953,124,227,"2,27",143,5,29,"0,62",326
,,,,,,,,,,,,,,,,,,,,,,
Qwen3.5-35B-A3B,Qwen3.5-35B-A3B,35,3,0,65,BF16,FP8,SGLANG,1,Apache 2.0,ST-Qwen3.5-35B-A3B_66GB_SGLANG_1GPU_96,68,01:10:07,7551,111,224,"1,73",411,5,82,"0,16",229
Qwen3.5-35B-A3B,Ornith-1.0-35B,35,3,0,65,BF16,BF16,SGLANG,1,Apache 2.0,ST-Ornith-1.0-35B_65GB_SGLANG_1GPU_96,75,02:00:40,8323,111,284,"2,20",304,5,61,"0,28",264
Qwen3.5-35B-A3B,Ornith-1.5-35B,35,3,0,66,BF16,FP8,SGLANG,2,Apache 2.0,ST-Ornith-1.5-35B-A3B_66GB_SGLANG_2GPU_48,80,04:03:52,5715,71,227,"4,14",283,5,57,"0,57",
Qwen3.5-35B-A3B,GRM-3.2-Sky,35,3,0,65,BF16,BF16,SGLANG,1,Apache 2.0,ST-GRM-3.2-Sky_65GB_SGLANG_1GPU_96,71,02:05:24,8729,123,318,"2,34",311,5,62,"0,29",268
Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,35,3,0,37,FP8,BF16,SGLANG,1,Apache 2.0,ST-Qwen3.6-35B-A3B-FP8_34GB_SGLANG_1GPU_96,57,00:51:54,6004,105,153,"1,50",482,5,96,"0,12",250
Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,35,3,0,67,BF16,BF16,SGLANG,1,Apache 2.0,ST-Qwen3.6-35B-A3B_66GB_SGLANG_1GPU_96,66,01:07:44,6700,102,199,"1,70",418,5,84,"0,16",254
Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,35,3,0,67,BF16,FP8,SGLANG,1,Apache 2.0,ST-Qwen3.6-35B-A3B_66GB_SGLANG_1GPU_96,66,01:04:48,6276,95,169,"1,58",406,5,81,"0,15",252
Qwen3.6-35B-A3B,KAT-Coder-V2.5-Dev,35,3,0,67,BF16,BF16,SGLANG,1,Apache 2.0,ST-KAT-Coder-V2.5-Dev_64GB_SGLANG_1GPU_96,64,01:22:18,3526,55,114,"1,57",318,5,64,"0,19",445
,,,,,,,,,,,,,,,,,,,,,,
Qwen3.6-27B,Qwen3.6-27B,27,27,0,31,FP8,BF16,SGLANG,1,Apache 2.0,ST-Qwen3.6-27B-FP8_28GB_SGLANG_1GPU_96,68,01:24:24,5029,74,112,"1,40",276,5,55,"0,20",278
Qwen3.6-27B,Qwen3.6-27B,27,27,0,31,FP8,FP8,SGLANG,1,Apache 2.0,ST-Qwen3.6-27B-FP8_28GB_SGLANG_1GPU_96,68,01:44:20,5377,79,141,"1,60",256,5,51,"0,24",298
Qwen3.6-27B,Qwen3.6-27B,27,27,0,31,FP8,FP8,SGLANG,2,Apache 2.0,ST-Qwen3.6-27B-FP8_28GB_SGLANG_2GPU_48,72,01:38:11,5314,74,132,"1,58",268,5,54,"0,23",297
