base,variant,wq,cq,score,requests,request_time_seconds,wall_time_seconds,input_tokens,output_tokens,req/pt
DeepSeek-V4-Flash,3107-high-run2,MXFP4,BF16,79,2714,30904.8,17036.4,62220237,1066960,34.4
DeepSeek-V4-Flash,3107-high-run2,Q2KXL,BF16,92,4606,43632.2,24494.9,138290637,1491822,50.1
DeepSeek-V4-Flash,3107-high,MXFP4,BF16,85,2741,29811.0,16397.8,55698346,1018505,32.2
DeepSeek-V4-Flash,3107-high,Q2KXL,BF16,88,4639,60546.4,32826.5,134957385,1465967,52.7
DeepSeek-V4-Flash,3107-high,Q3KXL,FP16,90,3792,37322.5,20982.8,98248434,1342449,42.1
DeepSeek-V4-Flash,3107-high,Q8KXL,FP16,90,3748,41064.3,23103.0,92459641,1304201,41.6
DeepSeek-V4-Flash,HuiHui-abliterated-run2,MXFP4,BF16,81,3189,44863.9,23944.6,84056945,1506408,39.4
DeepSeek-V4-Flash,HuiHui-abliterated,MXFP4,BF16,80,2925,35901.8,19529.1,65905929,1226730,36.6
DeepSeek-V4-Flash,Vision-Exp-medium,Q3KXL,BF16,81,4219,65365.4,41139.6,143424428,2253255,52.1
DeepSeek-V4-Pro,API,,,77,4083,22043.9,5315.9,104285449,1397065,53.0
GLM-5.2,API,,,76,3257,30438.3,7371.0,61965459,991612,42.9
Gemma-4-26B-A4B,chattemplate-072026,BF16,FP8,54,6807,76183.7,15852.4,218727546,2168468,126.1
Gemma-4-31B-it,FP8-dynamic-chattemplate-072026,BF16,FP8,72,3245,20904.6,4527.9,49983964,970421,45.1
Gemma-4-31B-it,FP8-dynamic-chattemplate-072026,FP8,FP8,69,3823,14493.1,3625.4,65654464,1026163,55.4
Gemma-4-31B-it,FP8-dynamic,FP8,BF16,67,3811,15612.2,3480.8,62958380,1001705,56.9
Gemma-4-31B-it,FP8-dynamic,FP8,FP8,71,3613,12937.0,3326.7,56144056,966445,50.9
Gemma-4-31B-it,notag,BF16,BF16,73,3614,21988.4,4800.9,57625012,990286,49.5
Gemma-4-31B-it,notag,BF16,FP8,72,3583,22782.8,5060.5,61238493,1061690,49.8
Hy3,API,,,70,2675,15410.3,4145.9,39731079,614888,38.2
MiMo-V2.5,API,,,70,4248,30381.3,6855.0,132485698,1819076,60.7
MiniMax-M2.7,notag,Q4,FP8,77,3915,22106.5,26305.3,67710194,1130193,50.8
Muse-Glimmer-30B,heretic-run2,BF16,BF16,73,9236,27053.8,6103.6,285249595,1888461,126.5
Muse-Glimmer-30B,heretic,BF16,BF16,75,9501,27650.9,6302.0,303053288,1966719,126.7
Muse-Glimmer-30B,notag-run2,BF16,BF16,75,8937,33507.1,7458.9,282923991,2021636,119.2
Muse-Glimmer-30B,notag-run3,BF16,BF16,76,8823,28633.1,6484.4,261058851,1993927,116.1
Muse-Glimmer-30B,notag,BF16,BF16,74,8505,30246.6,6798.5,252350785,1959681,114.9
